Scenario,Trial_ID,Final_Opinion_IG,Final_Trust_DGI,Follow_Ratio_x
Normal,88,-1674558328.6276982,-0.9840305853827823,0.007984707308608827
Normal,89,-879033162.8359782,-0.9864143637100982,0.006792818144950918
Normal,90,-519633563.06107956,-0.9628890246132603,0.018555487693369864
Normal,91,-2429077006.963725,-0.9400932162028139,0.029953391898593053
Normal,92,-2241755734.3672237,-0.9907716127387389,0.004614193630630556
Normal,93,-1163195590.7737443,-0.9835174955300539,0.008241252234973056
Normal,94,-2815950569.8471932,-0.9854531993689127,0.007273400315543649
Normal,95,-1630360073.7183254,-0.9754039378515934,0.012298031074203294
Normal,96,-12547533067.368137,-0.9872818462860247,0.006359076856987681
Normal,97,-981185201.3213146,-0.9937855788306816,0.0031072105846591566
Normal,98,-4571195751.787803,-0.9877138312242428,0.006143084387878575
Normal,99,-152988642.18027467,-0.9899085740600628,0.005045712969968603
Normal,100,-1114096296.2474616,-1.0,0.0
Crisis,1,-5011086384.270319,-0.9985612210981201,0.0007193894509399839
Crisis,2,-3139469894.478178,-0.9940724671207661,0.002963766439616923
Crisis,3,-6593002426.211671,-1.0,0.0
Crisis,4,-1392506859.789121,-0.9895125514322431,0.005243724283878454
Crisis,5,-2195486043.6172876,-0.9964391119932606,0.0017804440033696626
Crisis,6,-4617734403.784939,-0.9937344885480605,0.0031327557259697675
Crisis,7,-3015233540.282089,-0.991239944511909,0.004380027744045502
Crisis,8,-4442360229.535979,-0.9969761605192603,0.001511919740369838
Crisis,9,-5819905653.012468,-1.0,0.0
Crisis,10,-2755151546.609256,-0.9979871681853001,0.0010064159073499609
Crisis,11,-772890722.7051953,-0.9990410300730869,0.0004794849634565399
Crisis,12,-1955303285.2483406,-0.9950076188946858,0.002496190552657092
Crisis,13,-6772659656.301794,-0.9993967529181145,0.0003016235409427912
Crisis,14,-8815674276.382957,-1.0,0.0
Crisis,15,-247979826.48844028,-1.0,0.0
Crisis,16,-8634868108.583235,-0.990173044582184,0.004913477708907995
Crisis,17,-2001687969.8706036,-0.9857354273062223,0.007132286346888839
Crisis,18,-490430842.75844496,-1.0,0.0
Crisis,19,-6100107824.552773,-1.0,0.0
Crisis,20,-3122383972.3590364,-0.9937958888233424,0.0031020555883288017
Crisis,21,-2819061709.6883445,-0.9978406109276009,0.0010796945361995543
Crisis,22,-1857131539.4993956,-0.9936459482004486,0.003177025899775682
Crisis,23,-4618691136.653327,-0.9888870560757378,0.005556471962131124
Crisis,24,-2372714089.496665,-0.9995323969012366,0.00023380154938169992
Crisis,25,-2781502078.4184723,-0.9939891583330474,0.0030054208334762975
Crisis,26,-1844660851.0569124,-0.9982150016250416,0.0008924991874792122
Crisis,27,-1345328400.8672798,-0.9919724630710784,0.004013768464460775
Crisis,28,-5568186757.208874,-0.9992338353667949,0.000383082316602561
Crisis,29,-4154062688.898824,-0.9969980663455935,0.0015009668272032413
Crisis,30,-1703879932.699671,-0.981803831395497,0.009098084302251501
Crisis,31,-5649232555.155943,-0.9977786497622703,0.0011106751188648635
Crisis,32,-8888260328.099623,-0.9978372975278905,0.001081351236054724
Crisis,33,-1281229770.7029839,-0.9946983127865842,0.0026508436067079182
Crisis,34,-6548862893.898206,-0.9930981731859047,0.003450913407047649
Crisis,35,-4834518551.086932,-0.9961424101651039,0.0019287949174480968
Crisis,36,-3304849758.046743,-0.9995178627997184,0.00024106860014079862
Crisis,37,-3265173428.1064706,-1.0,0.0
Crisis,38,-1760646409.2634368,-0.9924511752482263,0.003774412375886852
Crisis,39,-1379616636.1364248,-0.9987487511250726,0.0006256244374637257
Crisis,40,-2871403156.44975,-0.9991391727945598,0.0004304136027201183
Crisis,41,-2857495329.960965,-0.9943607835766407,0.0028196082116796655
Crisis,42,-542638427.6306453,-0.9972771087194274,0.0013614456402863103
Crisis,43,-2126249361.2412388,-0.995811032569981,0.0020944837150094512
Crisis,44,-2766565792.708549,-0.9965125394796508,0.0017437302601746086
Crisis,45,-183939709.46853352,-0.9950024259944434,0.0024987870027782747
Crisis,46,-6578078779.364922,-0.9973051341562134,0.0013474329218933392
Crisis,47,-802076531.8928089,-1.0,0.0
Crisis,48,-1905379127.8856075,-1.0,0.0
Crisis,49,-13681339258.258482,-1.0,0.0
Crisis,50,-2049869967.473937,-1.0,0.0
Crisis,51,-7658352853.124925,-0.9882505475854382,0.005874726207280889
Crisis,52,-2438963082.2115664,-1.0,0.0
Crisis,53,-6171859977.602851,-1.0,0.0
Crisis,54,-2633062739.611196,-1.0,0.0
Crisis,55,-3021918068.1310115,-1.0,0.0
Crisis,56,-6078473890.23208,-0.9956853639209405,0.002157318039529732
Crisis,57,-2549328300.9801216,-0.995864461968207,0.002067769015896499
Crisis,58,-5277802772.41964,-1.0,0.0
Crisis,59,-1890761366.143564,-0.9923955323336413,0.003802233833179328
Crisis,60,-382942164.0595663,-0.9901765224672993,0.004911738766350368
Crisis,61,-3862553818.049184,-0.9920992703342357,0.003950364832882123
Crisis,62,-5289991031.247555,-1.0,0.0
Crisis,63,-4965878618.287671,-0.9958258602073032,0.0020870698963483666
Crisis,64,-3861709914.9464216,-0.9949644785910181,0.0025177607044909256
Crisis,65,-4588414921.662527,-1.0,0.0
Crisis,66,-6794413646.506095,-0.9983060303269049,0.0008469848365475481
Crisis,67,-5659903030.970943,-0.9997203156151246,0.00013984219243766036
Crisis,68,-6053292339.971894,-0.9939186179624124,0.0030406910187938023
Crisis,69,-7895964163.782472,-0.9996212592282439,0.00018937038587807636
Crisis,70,-328738770.77214545,-1.0,0.0
Crisis,71,-10359619672.638735,-1.0,0.0
Crisis,72,-954809677.0590357,-0.9963673734254538,0.0018163132872731037
Crisis,73,-3601231613.343071,-0.9969640373665627,0.00151798131671863
Crisis,74,-4231689296.563687,-0.9993282266459081,0.0003358866770459414
Crisis,75,-3546127899.8989754,-0.9989551697858744,0.0005224151070628125
Crisis,76,-8075249028.742541,-1.0,0.0
Crisis,77,-4360387774.800533,-0.9969592394564969,0.0015203802717515323
Crisis,78,-5984264525.506566,-0.9976423081619643,0.0011788459190178505
Crisis,79,-2825666585.358902,-0.9884794205611311,0.005760289719434458
Crisis,80,-4690341673.983613,-1.0,0.0
Crisis,81,-4372672992.7577305,-0.9985046085282636,0.0007476957358682157
Crisis,82,-3478918142.533418,-0.9914187513600194,0.004290624319990281
Crisis,83,-3172692229.449648,-0.9926027745021804,0.00369861274890982
Crisis,84,-1800034023.7011912,-1.0,0.0
Crisis,85,-10696602288.715252,-1.0,0.0
Crisis,86,-1491633091.8367128,-0.9924432006907008,0.0037783996546495845
Crisis,87,-9079267662.729599,-0.9929766567528725,0.0035116716235637606
Crisis,88,-3082660797.5317817,-0.9978822078278216,0.0010588960860892192
Crisis,89,-1419667719.022801,-0.9913992833220392,0.004300358338980409
Crisis,90,-5302494457.8276825,-0.9964535727807955,0.0017732136096022524
Crisis,91,-964359451.0882504,-1.0,0.0
Crisis,92,-2703828900.293422,-0.997639612756461,0.001180193621769514
Crisis,93,-6157508954.464021,-0.9971987184434871,0.0014006407782564852
Crisis,94,-1397057845.6933985,-0.9989133223186902,0.0005433388406548659
Crisis,95,-3497918983.978044,-0.9975007807583975,0.0012496096208012258
Crisis,96,-3012053297.648257,-0.9931172142707791,0.003441392864610421
Crisis,97,-9913716190.408493,-0.9971267578485064,0.0014366210757468163
Crisis,98,-2992479298.156091,-0.9890197012510664,0.0054901493744667915
Crisis,99,-4798187937.61877,-1.0,0.0
Crisis,100,-757517941.1746588,-0.9944819722997464,0.002759013850126766
